ID,image-3sec,image,segmentedRailImage,probaObstacle1,x1,dx1,y1,dy1,probaObstacle2,x2,dx2,y2,dy2,probaObstacle3,x3,dx3,y3,dy3
0001,0001_1.jpg,0001_2.jpg,0001_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0003,0003_1.jpg,0003_2.jpg,0003_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0004,0004_1.jpg,0004_2.jpg,0004_rail.png,1.0,0.2820,0.5680,0.0917,0.4264,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0005,0005_1.jpg,0005_2.jpg,0005_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0006,0006_1.jpg,0006_2.jpg,0006_rail.png,1.0,0.1750,0.5188,0.0639,0.4431,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0007,0007_1.jpg,0007_2.jpg,0007_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0008,0008_1.jpg,0008_2.jpg,0008_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0009,0009_1.jpg,0009_2.jpg,0009_rail.png,1.0,0.4547,0.1883,0.2653,0.1722,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0010,0010_1.jpg,0010_2.jpg,0010_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0011,0011_1.jpg,0011_2.jpg,0011_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0012,0012_1.jpg,0012_2.jpg,0012_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0013,0013_1.jpg,0013_2.jpg,0013_rail.png,1.0,0.1383,0.3969,0.0111,0.3736,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0016,0016_1.jpg,0016_2.jpg,0016_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0017,0017_1.jpg,0017_2.jpg,0017_rail.png,1.0,0.5773,0.2023,0.6486,0.1569,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0018,0018_1.jpg,0018_2.jpg,0018_rail.png,1.0,0.4180,0.1984,0.6153,0.1569,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0019,0019_1.jpg,0019_2.jpg,0019_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0021,0021_1.jpg,0021_2.jpg,0021_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
0022,0022_1.jpg,0022_2.jpg,0022_rail.png,1.0,0.0805,0.7898,0.0181,0.5583,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
